project_name,developer,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
aframe,cvan,0,0,0,0,0,0,0,0,0,0,0,31,6,8,29,1,12,4,2,1,6,6,0,1,0,1,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aframe,ngokevin,0,0,0,0,0,0,0,0,0,0,0,2,13,22,81,21,25,15,27,93,36,44,31,34,72,43,59,33,41,53,39,28,31,46,17,15,2,4,35,7,9,22,9,13,8,14,0,0
aframe,jcarpenter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aframe,dmarcos,0,0,0,0,0,0,0,0,0,0,0,0,30,24,86,30,21,17,35,59,14,12,43,19,26,24,15,29,14,39,32,33,48,36,8,34,7,14,30,20,7,6,5,8,5,13,0,0
aframe,fernandojsg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aframe,mkungla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aframe,donmccurdy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
aframe,a-frobot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,39,55,36,32,43,28,43,30,29,18,35,5,8,36,10,8,13,6,9,7,7,0,0
aframe,caseyyee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
